Referenzjahr, Messjahr, Längenänderung (m), kum. Längenänderung (m),
1881, 1884, +50, 50, 
1886, 1887, 0, 50, 
1887, 1888, 0, 50, 
1889, 1890, +18, 68, 
1892, 1893, +6, 74, 
1893, 1894, +6, 80, 
1894, 1895, -6, 74, 
1895, 1896, -1, 73, 
1896, 1897, 0, 73, 
1897, 1898, -12, 61, 
1898, 1899, -1, 60, 
1899, 1900, -2, 58, 
1900, 1901, -27, 31, 
1901, 1902, -8, 23, 
1902, 1903, -2, 21, 
1903, 1904, -1, 20, 
1904, 1905, -1, 19, 
1905, 1906, -31, -12, 
1906, 1907, -1, -13, 
1907, 1908, 0, -13, 
1908, 1909, -4, -17, 
1909, 1915, +50, 33, 
1915, 1916, +20, 53, 
1916, 1917, +30, 83, 
1917, 1918, +18, 101, 
1918, 1919, +22, 123, 
1919, 1920, +27, 150, 
1920, 1921, +17, 167, 
1921, 1922, +15, 182, 
1922, 1923, +40, 222, 
1923, 1924, -18, 204, 
1924, 1925, -10, 194, 
1925, 1926, -7, 187, 
1926, 1927, -10, 177, 
1927, 1928, -2, 175, 
1928, 1929, 0, 175, 
1929, 1930, -4, 171, 
1930, 1931, -10, 161, 
1931, 1932, -8, 153, 
1932, 1933, -10, 143, 
1933, 1934, -20, 123, 
1934, 1935, -29, 94, 
1935, 1936, -18, 76, 
1936, 1937, -29, 47, 
1937, 1938, -27, 20, 
1938, 1939, -29, -9, 
1939, 1940, -4, -13, 
1940, 1941, -96, -109, 
1941, 1942, +8, -101, 
1942, 1943, -6, -107, 
1943, 1946, -190, -297, 
1946, 1947, -140, -437, 
1947, 1948, -5, -442, 
1948, 1949, -55, -497, 
1949, 1950, -19, -516, 
1950, 1951, -8, -524, 
1951, 1952, -22, -546, 
1952, 1953, -19, -565, 
1953, 1954, -20, -585, 
1954, 1955, +13, -572, 
1955, 1956, -24, -596, 
1956, 1957, +15, -581, 
1957, 1958, +2, -579, 
1958, 1959, +2, -577, 
1959, 1960, -29, -606, 
1960, 1961, +35, -571, 
1961, 1962, -12, -583, 
1962, 1963, +6, -577, 
1963, 1964, -23, -600, 
1964, 1965, -394, -994, 
1965, 1966, +101, -893, 
1966, 1967, +9, -884, 
1967, 1968, +109, -775, 
1968, 1969, +12, -763, 
1969, 1970, +173, -590, 
1970, 1971, -9, -599, 
1971, 1972, +3, -596, 
1972, 1973, +25, -571, 
1973, 1974, +9, -562, 
1974, 1975, +44, -518, 
1975, 1976, -17, -535, 
1976, 1977, +4, -531, 
1977, 1978, +20, -511, 
1978, 1979, +96, -415, 
1979, 1980, +53, -362, 
1980, 1981, +105, -257, 
1981, 1982, +26, -231, 
1982, 1983, +2, -229, 
1983, 1984, -59, -288, 
1984, 1985, +44, -244, 
1985, 1986, -53, -297, 
1986, 1987, -8, -305, 
1987, 1988, +22, -283, 
1988, 1989, -49, -332, 
1989, 1990, -57, -389, 
1990, 1991, -35, -424, 
1991, 1992, -63, -487, 
1992, 1993, -20, -507, 
1993, 1994, -11, -518, 
1994, 1995, -24, -542, 
1995, 1996, -36, -578, 
1996, 1997, -6, -584, 
1997, 1998, -140, -724, 
1998, 1999, -106, -830, 
1999, 2000, -218, -1048, 
2000, 2001, -12.2, -1060, 
2001, 2002, +14.5, -1046, 
2002, 2003, -52.6, -1098, 
2003, 2004, +2.8, -1096, 
2004, 2005, -4.5, -1100, 
2005, 2006, +1.1, -1099, 
2006, 2007, -14.3, -1113, 
2007, 2008, +14, -1099, 
2008, 2009, -3.7, -1103, 
2009, 2010, -1.2, -1104, 
2010, 2011, -12.9, -1117, 
2011, 2012, -13.3, -1130, 
2012, 2013, -4.0, -1134, 
2013, 2014, -8.6, -1143, 
2014, 2015, -15.9, -1159, 
2015, 2016, -0.3, -1159, 
2016, 2017, -13.4, -1173, 
