reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, +8, 8, 
1894, 1895, -20, -12, 
1895, 1897, +13, 1, 
1897, 1898, -7, -6, 
1898, 1900, -3, -9, 
1900, 1901, 0, -9, 
1901, 1902, -1, -10, 
1902, 1904, -1, -11, 
1904, 1905, 0, -11, 
1905, 1906, 0, -11, 
1906, 1907, 0, -11, 
1907, 1908, -1, -12, 
1908, 1909, +3, -9, 
1909, 1910, +4, -5, 
1910, 1911, -7, -12, 
1911, 1912, +2, -10, 
1912, 1913, +7, -3, 
1913, 1914, +10, 7, 
1914, 1915, -6, 1, 
1915, 1916, +4, 5, 
1916, 1917, -21, -16, 
1917, 1918, 1, -15, 
1918, 1919, +2, -13, 
1919, 1920, -6, -19, 
1920, 1921, -16, -35, 
1921, 1922, 0, -35, 
1922, 1923, +4, -31, 
1923, 1924, -5, -36, 
1924, 1925, -13, -49, 
1925, 1926, +12, -37, 
1926, 1928, -14, -51, 
1928, 1929, -4, -55, 
1929, 1930, -16, -71, 
1930, 1931, +3, -68, 
1931, 1932, -5, -73, 
1932, 1933, +2, -71, 
1933, 1934, -59, -130, 
1934, 1935, +8, -122, 
1935, 1938, +3, -119, 
1938, 1941, +36, -83, 
1941, 1942, -12, -95, 
1942, 1945, +2, -93, 
1945, 1946, +2, -91, 
1946, 1947, -74, -165, 
1947, 1948, +53, -112, 
1948, 1949, -80, -192, 
1949, 1950, -26, -218, 
1950, 1951, -14, -232, 
1951, 1953, +18, -214, 
1953, 1956, +16, -198, 
1956, 1957, 0, -198, 
1957, 1958, -38, -236, 
1958, 1959, -37, -273, 
1959, 1960, -16, -289, 
1960, 1962, +36, -253, 
1962, 1963, -29, -282, 
1963, 1964, -20, -302, 
1964, 1966, +161, -141, 
1966, 1967, -26, -167, 
1967, 1968, -1, -168, 
1968, 1969, -7, -175, 
1969, 1970, 0, -175, 
1970, 1971, -61, -236, 
1971, 1972, +3, -233, 
1972, 1973, -15, -248, 
1973, 1975, +61, -187, 
1975, 1976, -44, -231, 
1976, 1977, +9, -222, 
1977, 1978, +81, -141, 
1978, 1979, -22, -163, 
1979, 1980, +16, -147, 
1980, 1981, -18, -165, 
1981, 1982, -10, -175, 
1982, 1983, -37, -212, 
1983, 1985, +44, -168, 
1985, 1986, -74, -242, 
1986, 1987, +14, -228, 
1987, 1988, -17, -245, 
1988, 1990, -21, -266, 
1990, 1991, -22, -288, 
1991, 1992, +5, -283, 
1992, 1994, -14, -297, 
1994, 1996, +32, -265, 
1996, 1997, -17, -282, 
1997, 1998, -10, -292, 
1998, 1999, +30, -262, 
1999, 2000, -0.3, -262, 
2000, 2002, -41.1, -303, 
2002, 2003, -29.6, -333, 
2003, 2004, +9.7, -323, 
2004, 2005, -10.8, -334, 
2005, 2006, -9.1, -343, 
2006, 2007, -6.5, -350, 
2007, 2008, -0.3, -350, 
2008, 2009, -2.3, -352, 
2009, 2010, -2.9, -355, 
2010, 2011, -29.1, -384, 
2011, 2012, -5.6, -390, 
2012, 2013, -0.5, -390, 
2013, 2014, +1.3, -389, 
2014, 2015, -9.8, -399, 
2015, 2016, 0.3, -399, 
